Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Blood-based reverse transcriptase polymerase chain reaction assays for prostatic specific antigen: long term follow-up confirms the potential utility of this assay in identifying patients more likely to have biochemical recurrence (rising PSA) following radical prostatectomy.","/pubmed/10404086","de la Taille A, Olsson CA, Buttyan R, Benson MC, Bagiella E, Cao Y, Burchardt M, Chopin DK, Katz AE.","Int J Cancer. 1999 Aug 20;84(4):360-4.","Int J Cancer.  1999","PubMed","citation","PMID:10404086","pubmed","10404086","create date:1999/07/15 | first author:de la Taille A",
"Quantification of thymidylate synthase gene expression in human gastrointestinal carcinoma tissues using competitive PCR.","/pubmed/10370652","Omura K, Morishita M, Kawakami K, Kanehira E, Ishida Y, Watanabe Y.","Hepatogastroenterology. 1999 Mar-Apr;46(26):985-90.","Hepatogastroenterology.  1999","PubMed","citation","PMID:10370652","pubmed","10370652","create date:1999/06/17 | first author:Omura K",
"Correlation of VEGF expression by leukocytes with the growth and regression of blood vessels in the rat cornea.","/pubmed/10235544","Edelman JL, Castro MR, Wen Y.","Invest Ophthalmol Vis Sci. 1999 May;40(6):1112-23.","Invest Ophthalmol Vis Sci.  1999","PubMed","citation","PMID:10235544","pubmed","10235544","create date:1999/05/11 | first author:Edelman JL",
"An alternatively spliced form of CD79b gene may account for altered B-cell receptor expression in B-chronic lymphocytic leukemia.","/pubmed/10090943","Alfarano A, Indraccolo S, Circosta P, Minuzzo S, Vallario A, Zamarchi R, Fregonese A, Calderazzo F, Faldella A, Aragno M, Camaschella C, Amadori A, Caligaris-Cappio F.","Blood. 1999 Apr 1;93(7):2327-35.","Blood.  1999","PubMed","citation","PMID:10090943","pubmed","10090943","create date:1999/03/26 | first author:Alfarano A",
"Performance characteristics of a Kodak computed radiography system.","/pubmed/9949395","Bradford CD, Peppler WW, Dobbins JT 3rd.","Med Phys. 1999 Jan;26(1):27-37.","Med Phys.  1999","PubMed","citation","PMID:9949395","pubmed","9949395","create date:1999/02/09 | first author:Bradford CD",
"Mutation analysis of the RSK2 gene in Coffin-Lowry patients: extensive allelic heterogeneity and a high rate of de novo mutations.","/pubmed/9837815","Jacquot S, Merienne K, De Cesare D, Pannetier S, Mandel JL, Sassone-Corsi P, Hanauer A.","Am J Hum Genet. 1998 Dec;63(6):1631-40.","Am J Hum Genet.  1998","PubMed","citation","PMID:9837815 | PMCID:PMC1377634","pubmed","9837815","create date:1998/12/05 | first author:Jacquot S",
"Effect of prostate biopsy on the results of the PSA RT-PCR test.","/pubmed/9836557","Goldman HB, Israeli RS, Lerner JL, Hollabaugh RS Jr, Steiner MS.","Urology. 1998 Dec;52(6):1073-8.","Urology.  1998","PubMed","citation","PMID:9836557","pubmed","9836557","create date:1998/12/04 | first author:Goldman HB",
"Longitudinal changes in TCRB variable gene expression and markers of gingival inflammation in experimental gingivitis.","/pubmed/9797048","Preshaw PM, Geatch DR, Lauffart B, Jeffcoat MK, Taylor JJ, Heasman PA.","J Clin Periodontol. 1998 Oct;25(10):774-80.","J Clin Periodontol.  1998","PubMed","citation","PMID:9797048","pubmed","9797048","create date:1998/10/31 | first author:Preshaw PM",
"Molecular staging of prostate cancer: comparison of nested reverse transcription polymerase chain reaction assay using prostate specific antigen versus prostate specific membrane antigen as primer.","/pubmed/9712443","Okegawa T, Yoshioka J, Morita R, Nutahara K, Tsukada Y, Higashihara E.","Int J Urol. 1998 Jul;5(4):349-56.","Int J Urol.  1998","PubMed","citation","PMID:9712443","pubmed","9712443","create date:1998/08/26 | first author:Okegawa T",
"Detection and clearance of prostate cells subsequent to ultrasound-guided needle biopsy as determined by multiplex nested reverse transcription polymerase chain reaction assay.","/pubmed/9697792","Price DK, Clontz DR, Woodard WL 3rd, Kaufman JS, Daniels JM, Stolzenberg SJ, Teigland CM.","Urology. 1998 Aug;52(2):261-6; discussion 266-7.","Urology.  1998","PubMed","citation","PMID:9697792","pubmed","9697792","create date:1998/08/11 | first author:Price DK",
"Digital cloning: identification of human cDNAs homologous to novel kinases through expressed sequence tag database searching.","/pubmed/9662067","Chen HC, Kung HJ, Robinson D.","J Biomed Sci. 1998;5(2):86-92.","J Biomed Sci.  1998","PubMed","citation","PMID:9662067","pubmed","9662067","create date:1998/07/14 | first author:Chen HC",
"The frequent detection of a treponeme in bovine digital dermatitis by immunocytochemistry and polymerase chain reaction.","/pubmed/9646459","Demirkan I, Carter SD, Murray RD, Blowey RW, Woodward MJ.","Vet Microbiol. 1998 Feb 28;60(2-4):285-92.","Vet Microbiol.  1998","PubMed","citation","PMID:9646459","pubmed","9646459","create date:1998/07/01 | first author:Demirkan I",
"Fast-painting of human metaphase spreads using a chromosome-specific, repeat-depleted DNA library probe.","/pubmed/9591132","Durm M, Schüssler L, Münch H, Craig J, Ludwig H, Hausmann M, Cremer C.","Biotechniques. 1998 May;24(5):820-5.","Biotechniques.  1998","PubMed","citation","PMID:9591132","pubmed","9591132","create date:1998/05/20 | first author:Durm M",
"Hypervariable digital DNA codes for human paternal lineages: MVR-PCR at the Y-specific minisatellite, MSY1 (DYF155S1).","/pubmed/9499417","Jobling MA, Bouzekri N, Taylor PG.","Hum Mol Genet. 1998 Apr;7(4):643-53.","Hum Mol Genet.  1998","PubMed","citation","PMID:9499417","pubmed","9499417","create date:1998/05/16 | first author:Jobling MA",
"Functional analysis by imaging of melanophore pigment dispersion of chimeric receptors constructed by recombinant polymerase chain reaction.","/pubmed/9438073","McClintock TS, Lerner MR.","Brain Res Brain Res Protoc. 1997 Dec 1;2(1):59-68.","Brain Res Brain Res Protoc.  1997","PubMed","citation","PMID:9438073","pubmed","9438073","create date:1998/01/23 | first author:McClintock TS",
"Spectral karyotyping, a 24-colour FISH technique for the identification of chromosomal rearrangements.","/pubmed/9387921","Macville M, Veldman T, Padilla-Nash H, Wangsa D, O'Brien P, Schröck E, Ried T.","Histochem Cell Biol. 1997 Oct-Nov;108(4-5):299-305.","Histochem Cell Biol.  1997","PubMed","citation","PMID:9387921","pubmed","9387921","create date:1997/12/05 | first author:Macville M",
"Dynamic phosphorus-31 magnetic resonance spectroscopy in arterial occlusive disease. Correlation with clinical and angiographic findings and comparison with healthy volunteers.","/pubmed/9387051","Schunk K, Romaneehsen B, Mildenberger P, Kersjes W, Schadmand-Fischer S, Thelen M.","Invest Radiol. 1997 Nov;32(11):651-9.","Invest Radiol.  1997","PubMed","citation","PMID:9387051","pubmed","9387051","create date:1997/12/05 | first author:Schunk K",
"Frequency and natural history of rhinovirus infections in adults during autumn.","/pubmed/9350748","Arruda E, Pitkäranta A, Witek TJ Jr, Doyle CA, Hayden FG.","J Clin Microbiol. 1997 Nov;35(11):2864-8.","J Clin Microbiol.  1997","PubMed","citation","PMID:9350748 | PMCID:PMC230076","pubmed","9350748","create date:1997/11/14 | first author:Arruda E",
"A simple quantitative measurement of mRNA of human beta-actin by reverse transcription competitive PCR with a compact digital camera.","/pubmed/9331988","Okamoto Y, Hara Y, Katoh Y, Nagai H, Nishida M.","Biol Pharm Bull. 1997 Sep;20(9):1013-6.","Biol Pharm Bull.  1997","PubMed","citation","PMID:9331988","pubmed","9331988","create date:1997/10/23 | first author:Okamoto Y",
"Muscle metabolism changes with training in the nonamputated limb after vascular amputation: interest of phosphorus 31 NMR spectroscopy.","/pubmed/9344308","Dulieu V, Casillas JM, Maillefert JF, Walker P, Cottin Y, Didier JP, Brunotte F.","Arch Phys Med Rehabil. 1997 Aug;78(8):867-71.","Arch Phys Med Rehabil.  1997","PubMed","citation","PMID:9344308","pubmed","9344308","create date:1997/08/01 | first author:Dulieu V",
"Giant cell tumor of tendon sheath is a polyclonal cellular proliferation.","/pubmed/9224750","Vogrincic GS, O'Connell JX, Gilks CB.","Hum Pathol. 1997 Jul;28(7):815-9.","Hum Pathol.  1997","PubMed","citation","PMID:9224750","pubmed","9224750","create date:1997/07/01 | first author:Vogrincic GS",
"Enhanced Reverse Transcriptase Polymerase Chain Reaction for Prostate-specific Antigen Combined With Needle Biopsy Results: A Superior Predictor of pT3 Disease.","/pubmed/10462601","Rubin MA, Fang M, Stifelman MD, De VRIES GM, Buttyan R, Benson MC, Katz AE, Olsson CA, O'Toole K.","Mol Diagn. 1997 Jun;2(2):135-145.","Mol Diagn.  1997","PubMed","citation","PMID:10462601","pubmed","10462601","create date:1997/06/01 | first author:Rubin MA",
"Reverse transcriptase-polymerase chain reaction assays for prostate cancer.","/pubmed/9126234","Olsson CA, de Vries GM, Buttyan R, Katz AE.","Urol Clin North Am. 1997 May;24(2):367-78. Review.","Urol Clin North Am.  1997","PubMed","citation","PMID:9126234","pubmed","9126234","create date:1997/05/01 | first author:Olsson CA",
"Partial identification of spirochaetes from two dairy cows with digital dermatitis by polymerase chain reaction analysis of the 16S ribosomal RNA gene.","/pubmed/9080644","Rijpkema SG, David GP, Hughes SL, Woodward MJ.","Vet Rec. 1997 Mar 8;140(10):257-9.","Vet Rec.  1997","PubMed","citation","PMID:9080644","pubmed","9080644","create date:1997/03/08 | first author:Rijpkema SG",
"Effects of toluidine blue and destaining reagents used in sexual assault examinations on the ability to obtain DNA profiles from postcoital vaginal swabs.","/pubmed/9068192","Hochmeister MN, Whelan M, Borer UV, Gehrig C, Binda S, Berzlanovich A, Rauch E, Dirnhofer R.","J Forensic Sci. 1997 Mar;42(2):316-9.","J Forensic Sci.  1997","PubMed","citation","PMID:9068192","pubmed","9068192","create date:1997/03/01 | first author:Hochmeister MN",
"Construction of two near-kilobase resolution restriction maps of the 5' regulatory region of the human apolipoprotein B gene by quantitative DNA fiber mapping (QDFM).","/pubmed/9533015","Duell T, Nielsen LB, Jones A, Young SG, Weier HU.","Cytogenet Cell Genet. 1997;79(1-2):64-70.","Cytogenet Cell Genet.  1997","PubMed","citation","PMID:9533015","pubmed","9533015","create date:1997/01/01 | first author:Duell T",
"Can prostate-specific antigen reverse transcriptase-polymerase chain reaction be used as a prospective test to diagnose prostate cancer?","/pubmed/9280055","Goldman HB, Israeli RS, Lu Y, Lerner JL, Hollabaugh RS, Steiner MS.","World J Urol. 1997;15(4):257-61.","World J Urol.  1997","PubMed","citation","PMID:9280055","pubmed","9280055","create date:1997/01/01 | first author:Goldman HB",
"Detection of thymidylate synthase gene expression levels in formalin-fixed paraffin embedded tissue by semiquantitative, nonradioactive reverse transcriptase polymerase chain reaction.","/pubmed/8989925","Houze TA, Larsson L, Larsson PA, Hansson G, Gustavsson B.","Tumour Biol. 1997;18(1):53-68.","Tumour Biol.  1997","PubMed","citation","PMID:8989925","pubmed","8989925","create date:1997/01/01 | first author:Houze TA",
"Highly sensitive nonradioactive single-strand conformational polymorphism. Detection of Ki-ras mutations.","/pubmed/8955617","Emanuel JR, Damico C, Ahn S, Bautista D, Costa J.","Diagn Mol Pathol. 1996 Dec;5(4):260-4.","Diagn Mol Pathol.  1996","PubMed","citation","PMID:8955617","pubmed","8955617","create date:1996/12/01 | first author:Emanuel JR",
"Comparison of different electrophoretic methods for digital typing of the MS32 (D1S8) locus.","/pubmed/8874052","Rodriguez-Calvo MS, Bellas S, Soto JL, Barros F, Carracedo A.","Electrophoresis. 1996 Aug;17(8):1294-8.","Electrophoresis.  1996","PubMed","citation","PMID:8874052","pubmed","8874052","create date:1996/08/01 | first author:Rodriguez-Calvo MS",
"A quantitative method of determining initial amounts of DNA by polymerase chain reaction cycle titration using digital imaging and a novel DNA stain.","/pubmed/8660567","Becker A, Reith A, Napiwotzki J, Kadenbach B.","Anal Biochem. 1996 Jun 1;237(2):204-7.","Anal Biochem.  1996","PubMed","citation","PMID:8660567","pubmed","8660567","create date:1996/06/01 | first author:Becker A",
"The use of RT-PCR for prostate-specific antigen assay to predict potential surgical failures before radical prostatectomy: molecular staging of prostate cancer.","/pubmed/8814848","Olsson CA, De Vries GM, Benson MC, Raffo A, Buttyan R, Cama C, O'Toole K, Katz AE.","Br J Urol. 1996 Mar;77(3):411-7.","Br J Urol.  1996","PubMed","citation","PMID:8814848","pubmed","8814848","create date:1996/03/01 | first author:Olsson CA",
"Rapid detection of thymidylate synthase gene expression levels by semi-quantitative competitive reverse transcriptase polymerase chain reaction followed by quantitative digital image analysis.","/pubmed/8792857","Houze TA, Larsson L, Larsson PA, Hansson G, Asea A, Gustavsson B.","Tumour Biol. 1996;17(5):306-19.","Tumour Biol.  1996","PubMed","citation","PMID:8792857","pubmed","8792857","create date:1996/01/01 | first author:Houze TA",
"A comparative study of karyotypes of muntjacs by chromosome painting.","/pubmed/7587587","Yang F, Carter NP, Shi L, Ferguson-Smith MA.","Chromosoma. 1995 May;103(9):642-52.","Chromosoma.  1995","PubMed","citation","PMID:7587587","pubmed","7587587","create date:1995/05/01 | first author:Yang F",
"Enhanced reverse transcriptase-polymerase chain reaction for prostate specific antigen as an indicator of true pathologic stage in patients with prostate cancer.","/pubmed/8826922","Katz AE, de Vries GM, Begg MD, Raffo AJ, Cama C, O'Toole K, Buttyan R, Benson MC, Olsson CA.","Cancer. 1995 Apr 1;75(7):1642-8.","Cancer.  1995","PubMed","citation","PMID:8826922","pubmed","8826922","create date:1995/04/01 | first author:Katz AE",
"A physical map of chromosome 20 established using fluorescence in situ hybridization and digital image analysis.","/pubmed/7782072","Stokke T, Collins C, Kuo WL, Kowbel D, Shadravan F, Tanner M, Kallioniemi A, Kallioniemi OP, Pinkel D, Deaven L, et al.","Genomics. 1995 Mar 1;26(1):134-7.","Genomics.  1995","PubMed","citation","PMID:7782072","pubmed","7782072","create date:1995/03/01 | first author:Stokke T",
"Role of magnesium and calcium in alcohol-induced hypertension and strokes as probed by in vivo television microscopy, digital image microscopy, optical spectroscopy, 31P-NMR, spectroscopy and a unique magnesium ion-selective electrode.","/pubmed/7847586","Altura BM, Altura BT.","Alcohol Clin Exp Res. 1994 Oct;18(5):1057-68. Review.","Alcohol Clin Exp Res.  1994","PubMed","citation","PMID:7847586","pubmed","7847586","create date:1994/10/01 | first author:Altura BM",
"Aspects of nonrandom turnover involved in the concerted evolution of intergenic spacers within the ribosomal DNA of Drosophila melanogaster.","/pubmed/7932779","Linares AR, Bowen T, Dover GA.","J Mol Evol. 1994 Aug;39(2):151-9.","J Mol Evol.  1994","PubMed","citation","PMID:7932779","pubmed","7932779","create date:1994/08/01 | first author:Linares AR",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"31-P mr spectroscopy of a leg lymphangiosarcoma.","/pubmed/8078364","Kiricuta IC, Bluemm RG, Krawzak HW, Rühl J, Beyer HK.","Lymphology. 1994 Jun;27(2):82-9.","Lymphology.  1994","PubMed","citation","PMID:8078364","pubmed","8078364","create date:1994/06/01 | first author:Kiricuta IC",
"Molecular staging of prostate cancer with the use of an enhanced reverse transcriptase-PCR assay.","/pubmed/7515202","Katz AE, Olsson CA, Raffo AJ, Cama C, Perlman H, Seaman E, O'Toole KM, McMahon D, Benson MC, Buttyan R.","Urology. 1994 Jun;43(6):765-75.","Urology.  1994","PubMed","citation","PMID:7515202","pubmed","7515202","create date:1994/06/01 | first author:Katz AE",
"Potential forensic applications of minisatellite variant repeat (MVR) mapping using the polymerase chain reaction (PCR) at D1S8.","/pubmed/8006621","Yamamoto T, Tamaki K, Kojima T, Uchihi R, Katsumata Y.","J Forensic Sci. 1994 May;39(3):743-50.","J Forensic Sci.  1994","PubMed","citation","PMID:8006621","pubmed","8006621","create date:1994/05/01 | first author:Yamamoto T",
"Resonant activation of calcium signal transduction in neurons.","/pubmed/8195791","Fields RD, Nelson PG.","J Neurobiol. 1994 Mar;25(3):281-93. Review.","J Neurobiol.  1994","PubMed","citation","PMID:8195791","pubmed","8195791","create date:1994/03/01 | first author:Fields RD",
"Four-state MVR-PCR: increased discrimination of digital DNA typing by simultaneous analysis of two polymorphic sites within minisatellite variant repeats at D1S8.","/pubmed/8268916","Tamaki K, Monckton DG, MacLeod A, Allen M, Jeffreys AJ.","Hum Mol Genet. 1993 Oct;2(10):1629-32.","Hum Mol Genet.  1993","PubMed","citation","PMID:8268916","pubmed","8268916","create date:1993/10/01 | first author:Tamaki K",
